id,dateSubmitted,employeeId,employeeName,problem,category,department,proposedSolution,status,implementationDate,createDate,createUserId,modifyDate,modifyUserId,deleted,deleteUserId,deleteDate
57,2020-01-11 00:00:00,1290,Emily Johnson,Missing important files from project folder,1,Engineering,Reset the password and check internet connectivity,1,NULL,2020-01-11 00:00:00,2,NULL,NULL,NULL,NULL,NULL
58,2020-01-11 00:00:00,1538,James Harris,Cannot log into company CRM system,5,Engineering,Automate data entry using a workflow management tool,1,NULL,2020-01-11 00:00:00,3,NULL,NULL,NULL,NULL,NULL
59,2020-01-11 00:00:00,1290,Emily Johnson,Slow response times for customer emails,1,HR,Clear cache and run a disk cleanup utility,5,NULL,2020-01-11 00:00:00,2,NULL,NULL,NULL,NULL,NULL
60,2020-01-11 00:00:00,1961,Michael Brown,Emails not syncing across devices,5,Operations,Check backup and retrieve from last sync,2,NULL,2020-01-11 00:00:00,7,NULL,NULL,NULL,NULL,NULL
61,2020-01-11 00:00:00,1668,David Wilson,Missing important files from project folder,1,HR,Restart the system and check network settings,3,2020-9-28 00:00:00,2020-01-11 00:00:00,4,NULL,NULL,NULL,NULL,NULL
62,2020-01-11 00:00:00,1290,Emily Johnson,Lack of collaboration on shared projects,2,Design,Schedule a training session for all employees,4,NULL,2020-01-11 00:00:00,2,NULL,NULL,NULL,NULL,NULL
63,2020-01-11 00:00:00,1961,Michael Brown,Missing important files from project folder,1,HR,Check backup and retrieve from last sync,3,2021-2-13 00:00:00,2020-01-11 00:00:00,7,NULL,NULL,NULL,NULL,NULL
64,2020-01-11 00:00:00,1874,Jessica Lee,Lack of collaboration on shared projects,4,Engineering,Reset the password and check internet connectivity,2,NULL,2020-01-11 00:00:00,5,NULL,NULL,NULL,NULL,NULL
65,2020-01-11 00:00:00,1874,Jessica Lee,Employee absence without notice,3,HR,Reset the password and check internet connectivity,2,NULL,2020-01-11 00:00:00,5,NULL,NULL,NULL,NULL,NULL
66,2020-01-11 00:00:00,1874,Jessica Lee,Printer not connecting to the network,5,Finance,Implement a clear communication plan using project management tools,4,NULL,2020-01-11 00:00:00,5,NULL,NULL,NULL,NULL,NULL
67,2020-01-12 00:00:00,1961,Michael Brown,Team communication is unclear,1,Engineering,Schedule a training session for all employees,2,NULL,2020-01-12 00:00:00,7,NULL,NULL,NULL,NULL,NULL
68,2020-01-12 00:00:00,1284,Sarah Davis,Confusion with new company software,4,QA,Implement a clear communication plan using project management tools,5,NULL,2020-01-12 00:00:00,1,NULL,NULL,NULL,NULL,NULL
69,2020-01-12 00:00:00,1917,John Smith,Cannot log into company CRM system,4,Engineering,Restart printer and check network settings,5,NULL,2020-01-12 00:00:00,6,NULL,NULL,NULL,NULL,NULL
70,2020-01-12 00:00:00,1961,Michael Brown,Lack of collaboration on shared projects,1,Engineering,Check backup and retrieve from last sync,2,NULL,2020-01-12 00:00:00,7,NULL,NULL,NULL,NULL,NULL
71,2020-01-13 00:00:00,1874,Jessica Lee,Manual data entry errors,2,QA,Assign more staff to handle customer service during peak hours,3,2021-1-1 00:00:00,2020-01-13 00:00:00,5,NULL,NULL,NULL,NULL,NULL
72,2020-01-13 00:00:00,1538,James Harris,Confusion with new company software,2,Finance,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-13 00:00:00,3,NULL,NULL,NULL,NULL,NULL
73,2020-01-13 00:00:00,1538,James Harris,Manual data entry errors,4,Operations,Implement a clear communication plan using project management tools,1,NULL,2020-01-13 00:00:00,3,NULL,NULL,NULL,NULL,NULL
74,2020-01-13 00:00:00,1538,James Harris,Confusion with new company software,4,Design,Schedule a training session for all employees,5,NULL,2020-01-13 00:00:00,3,NULL,NULL,NULL,NULL,NULL
75,2020-01-13 00:00:00,1290,Emily Johnson,Confusion with new company software,1,Engineering,Monitor workloads and encourage regular breaks and time-off,4,NULL,2020-01-13 00:00:00,2,NULL,NULL,NULL,NULL,NULL
76,2020-01-13 00:00:00,1917,John Smith,Difficulty accessing shared files,3,Engineering,Clear cache and run a disk cleanup utility,1,NULL,2020-01-13 00:00:00,6,NULL,NULL,NULL,NULL,NULL
77,2020-01-13 00:00:00,1538,James Harris,Employee absence without notice,3,Engineering,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,4,NULL,2020-01-13 00:00:00,3,NULL,NULL,NULL,NULL,NULL
78,2020-01-13 00:00:00,1917,John Smith,Slow response times for customer emails,4,HR,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,1,NULL,2020-01-13 00:00:00,6,NULL,NULL,NULL,NULL,NULL
79,2020-01-14 00:00:00,1284,Sarah Davis,Emails not syncing across devices,4,HR,Assign more staff to handle customer service during peak hours,5,NULL,2020-01-14 00:00:00,1,NULL,NULL,NULL,NULL,NULL
80,2020-01-14 00:00:00,1668,David Wilson,Unable to access shared company drive,5,Design,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-14 00:00:00,4,NULL,NULL,NULL,NULL,NULL
81,2020-01-15 00:00:00,1668,David Wilson,Missed deadline due to lack of resources,1,Operations,Set up a reminder system for employees to notify HR of absences in advance,5,NULL,2020-01-15 00:00:00,4,NULL,NULL,NULL,NULL,NULL
82,2020-01-15 00:00:00,1538,James Harris,Unable to access shared company drive,1,Operations,Check backup and retrieve from last sync,4,NULL,2020-01-15 00:00:00,3,NULL,NULL,NULL,NULL,NULL
83,2020-01-15 00:00:00,1538,James Harris,Employee burnout from overwork,2,Operations,Restart the system and check network settings,4,NULL,2020-01-15 00:00:00,3,NULL,NULL,NULL,NULL,NULL
84,2020-01-15 00:00:00,1668,David Wilson,Difficulty accessing shared files,2,Design,Restart printer and check network settings,3,2021-1-20 00:00:00,2020-01-15 00:00:00,4,NULL,NULL,NULL,NULL,NULL
85,2020-01-15 00:00:00,1668,David Wilson,Cannot log into company CRM system,3,Finance,Implement a clear communication plan using project management tools,5,NULL,2020-01-15 00:00:00,4,NULL,NULL,NULL,NULL,NULL
86,2020-01-15 00:00:00,1961,Michael Brown,Lack of collaboration on shared projects,2,Engineering,Check backup and retrieve from last sync,5,NULL,2020-01-15 00:00:00,7,NULL,NULL,NULL,NULL,NULL
87,2020-01-15 00:00:00,1290,Emily Johnson,Manual data entry errors,1,Engineering,Set up a reminder system for employees to notify HR of absences in advance,4,NULL,2020-01-15 00:00:00,2,NULL,NULL,NULL,NULL,NULL
88,2020-01-15 00:00:00,1917,John Smith,Employee burnout from overwork,2,Finance,Restart the system and check network settings,2,NULL,2020-01-15 00:00:00,6,NULL,NULL,NULL,NULL,NULL
89,2020-01-16 00:00:00,1538,James Harris,Missing important files from project folder,3,Design,Monitor workloads and encourage regular breaks and time-off,5,NULL,2020-01-16 00:00:00,3,NULL,NULL,NULL,NULL,NULL
90,2020-01-16 00:00:00,1538,James Harris,Printer not connecting to the network,2,Finance,Monitor workloads and encourage regular breaks and time-off,5,NULL,2020-01-16 00:00:00,3,NULL,NULL,NULL,NULL,NULL
91,2020-01-16 00:00:00,1538,James Harris,Team communication is unclear,1,QA,Implement a clear communication plan using project management tools,1,NULL,2020-01-16 00:00:00,3,NULL,NULL,NULL,NULL,NULL
92,2020-01-16 00:00:00,1284,Sarah Davis,Customer service queries piling up,5,HR,Implement an email template for quick replies,2,NULL,2020-01-16 00:00:00,1,NULL,NULL,NULL,NULL,NULL
93,2020-01-16 00:00:00,1874,Jessica Lee,Missing important files from project folder,3,Design,Check backup and retrieve from last sync,3,2022-10-28 00:00:00,2020-01-16 00:00:00,5,NULL,NULL,NULL,NULL,NULL
94,2020-01-16 00:00:00,1961,Michael Brown,Cannot log into company CRM system,4,Finance,Monitor workloads and encourage regular breaks and time-off,1,NULL,2020-01-16 00:00:00,7,NULL,NULL,NULL,NULL,NULL
95,2020-01-16 00:00:00,1961,Michael Brown,Difficulty accessing shared files,1,Design,Assign more staff to handle customer service during peak hours,3,2020-11-19 00:00:00,2020-01-16 00:00:00,7,NULL,NULL,NULL,NULL,NULL
96,2020-01-17 00:00:00,1668,David Wilson,Unable to access shared company drive,5,Engineering,Reset the password and check internet connectivity,5,NULL,2020-01-17 00:00:00,4,NULL,NULL,NULL,NULL,NULL
97,2020-01-17 00:00:00,1284,Sarah Davis,Lack of collaboration on shared projects,4,Finance,Schedule a training session for all employees,4,NULL,2020-01-17 00:00:00,1,NULL,NULL,NULL,NULL,NULL
98,2020-01-17 00:00:00,1917,John Smith,Employee burnout from overwork,4,Engineering,Monitor workloads and encourage regular breaks and time-off,4,NULL,2020-01-17 00:00:00,6,NULL,NULL,NULL,NULL,NULL
99,2020-01-17 00:00:00,1961,Michael Brown,Employee burnout from overwork,5,Design,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,5,NULL,2020-01-17 00:00:00,7,NULL,NULL,NULL,NULL,NULL
100,2020-01-17 00:00:00,1538,James Harris,Team communication is unclear,3,Finance,Automate data entry using a workflow management tool,5,NULL,2020-01-17 00:00:00,3,NULL,NULL,NULL,NULL,NULL
101,2020-01-17 00:00:00,1284,Sarah Davis,Printer not connecting to the network,4,Engineering,Monitor workloads and encourage regular breaks and time-off,5,NULL,2020-01-17 00:00:00,1,NULL,NULL,NULL,NULL,NULL
102,2020-01-18 00:00:00,1961,Michael Brown,Computer running slow,1,Operations,Reconfigure email settings and ensure synchronization is enabled,4,NULL,2020-01-18 00:00:00,7,NULL,NULL,NULL,NULL,NULL
103,2020-01-18 00:00:00,1538,James Harris,Computer running slow,5,Finance,Assign more staff to handle customer service during peak hours,2,NULL,2020-01-18 00:00:00,3,NULL,NULL,NULL,NULL,NULL
104,2020-01-18 00:00:00,1668,David Wilson,Employee burnout from overwork,2,Finance,Automate data entry using a workflow management tool,5,NULL,2020-01-18 00:00:00,4,NULL,NULL,NULL,NULL,NULL
105,2020-01-18 00:00:00,1874,Jessica Lee,Computer running slow,1,HR,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-18 00:00:00,5,NULL,NULL,NULL,NULL,NULL
106,2020-01-18 00:00:00,1917,John Smith,Employee burnout from overwork,1,Finance,Implement a clear communication plan using project management tools,3,2023-1-17 00:00:00,2020-01-18 00:00:00,6,NULL,NULL,NULL,NULL,NULL
107,2020-01-19 00:00:00,1668,David Wilson,Emails not syncing across devices,4,Engineering,Assign more staff to handle customer service during peak hours,2,NULL,2020-01-19 00:00:00,4,NULL,NULL,NULL,NULL,NULL
108,2020-01-19 00:00:00,1284,Sarah Davis,Team communication is unclear,2,Operations,Restart printer and check network settings,5,NULL,2020-01-19 00:00:00,1,NULL,NULL,NULL,NULL,NULL
109,2020-01-19 00:00:00,1961,Michael Brown,Employee burnout from overwork,2,Engineering,Restart printer and check network settings,5,NULL,2020-01-19 00:00:00,7,NULL,NULL,NULL,NULL,NULL
110,2020-01-19 00:00:00,1961,Michael Brown,Computer running slow,5,Finance,Reset the password and check internet connectivity,5,NULL,2020-01-19 00:00:00,7,NULL,NULL,NULL,NULL,NULL
111,2020-01-19 00:00:00,1284,Sarah Davis,Team communication is unclear,5,QA,Restart the system and check network settings,3,2022-6-6 00:00:00,2020-01-19 00:00:00,1,NULL,NULL,NULL,NULL,NULL
112,2020-01-19 00:00:00,1290,Emily Johnson,Printer not connecting to the network,3,Design,Implement a clear communication plan using project management tools,5,NULL,2020-01-19 00:00:00,2,NULL,NULL,NULL,NULL,NULL
113,2020-01-20 00:00:00,1538,James Harris,Unable to access shared company drive,2,Operations,Restart printer and check network settings,2,NULL,2020-01-20 00:00:00,3,NULL,NULL,NULL,NULL,NULL
114,2020-01-20 00:00:00,1538,James Harris,Computer running slow,2,HR,Clear cache and run a disk cleanup utility,1,NULL,2020-01-20 00:00:00,3,NULL,NULL,NULL,NULL,NULL
115,2020-01-20 00:00:00,1668,David Wilson,Confusion with new company software,1,Operations,Reset the password and check internet connectivity,1,NULL,2020-01-20 00:00:00,4,NULL,NULL,NULL,NULL,NULL
116,2020-01-20 00:00:00,1668,David Wilson,Team communication is unclear,3,Engineering,Automate data entry using a workflow management tool,1,NULL,2020-01-20 00:00:00,4,NULL,NULL,NULL,NULL,NULL
117,2020-01-20 00:00:00,1284,Sarah Davis,Cannot log into company CRM system,5,Design,Set up a reminder system for employees to notify HR of absences in advance,4,NULL,2020-01-20 00:00:00,1,NULL,NULL,NULL,NULL,NULL
118,2020-01-20 00:00:00,1668,David Wilson,Difficulty accessing shared files,5,Finance,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,3,2021-2-20 00:00:00,2020-01-20 00:00:00,4,NULL,NULL,NULL,NULL,NULL
119,2020-01-20 00:00:00,1961,Michael Brown,Employee burnout from overwork,1,Engineering,Restart printer and check network settings,3,2021-7-11 00:00:00,2020-01-20 00:00:00,7,NULL,NULL,NULL,NULL,NULL
120,2020-01-21 00:00:00,1874,Jessica Lee,Slow response times for customer emails,4,HR,Request additional resources from the project manager and adjust the timeline,3,2024-5-4 00:00:00,2020-01-21 00:00:00,5,NULL,NULL,NULL,NULL,NULL
121,2020-01-21 00:00:00,1961,Michael Brown,Manual data entry errors,3,HR,Check permissions on the shared folder and ensure everyone has the correct access,2,NULL,2020-01-21 00:00:00,7,NULL,NULL,NULL,NULL,NULL
122,2020-01-21 00:00:00,1538,James Harris,Team communication is unclear,1,QA,Check backup and retrieve from last sync,3,2022-7-15 00:00:00,2020-01-21 00:00:00,3,NULL,NULL,NULL,NULL,NULL
123,2020-01-21 00:00:00,1961,Michael Brown,Missing important files from project folder,4,Engineering,Restart printer and check network settings,2,NULL,2020-01-21 00:00:00,7,NULL,NULL,NULL,NULL,NULL
124,2020-01-21 00:00:00,1874,Jessica Lee,Confusion with new company software,2,Finance,Request additional resources from the project manager and adjust the timeline,5,NULL,2020-01-21 00:00:00,5,NULL,NULL,NULL,NULL,NULL
125,2020-01-21 00:00:00,1874,Jessica Lee,Cannot log into company CRM system,4,Finance,Check permissions on the shared folder and ensure everyone has the correct access,3,2021-12-25 00:00:00,2020-01-21 00:00:00,5,NULL,NULL,NULL,NULL,NULL
126,2020-01-22 00:00:00,1917,John Smith,Confusion with new company software,2,Engineering,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,5,NULL,2020-01-22 00:00:00,6,NULL,NULL,NULL,NULL,NULL
127,2020-01-22 00:00:00,1538,James Harris,Difficulty accessing shared files,5,QA,Implement a clear communication plan using project management tools,1,NULL,2020-01-22 00:00:00,3,NULL,NULL,NULL,NULL,NULL
128,2020-01-22 00:00:00,1538,James Harris,Printer not connecting to the network,1,Design,Automate data entry using a workflow management tool,3,2021-9-1 00:00:00,2020-01-22 00:00:00,3,NULL,NULL,NULL,NULL,NULL
129,2020-01-22 00:00:00,1961,Michael Brown,Missed deadline due to lack of resources,5,Finance,Request additional resources from the project manager and adjust the timeline,1,NULL,2020-01-22 00:00:00,7,NULL,NULL,NULL,NULL,NULL
130,2020-01-22 00:00:00,1284,Sarah Davis,Slow response times for customer emails,1,HR,Clear cache and run a disk cleanup utility,5,NULL,2020-01-22 00:00:00,1,NULL,NULL,NULL,NULL,NULL
131,2020-01-22 00:00:00,1538,James Harris,Cannot log into company CRM system,4,HR,Implement a clear communication plan using project management tools,1,NULL,2020-01-22 00:00:00,3,NULL,NULL,NULL,NULL,NULL
132,2020-01-22 00:00:00,1961,Michael Brown,Unable to access shared company drive,5,QA,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-22 00:00:00,7,NULL,NULL,NULL,NULL,NULL
133,2020-01-22 00:00:00,1538,James Harris,Lack of collaboration on shared projects,2,QA,Check permissions on the shared folder and ensure everyone has the correct access,1,NULL,2020-01-22 00:00:00,3,NULL,NULL,NULL,NULL,NULL
134,2020-01-22 00:00:00,1538,James Harris,Team communication is unclear,3,Engineering,Restart printer and check network settings,1,NULL,2020-01-22 00:00:00,3,NULL,NULL,NULL,NULL,NULL
135,2020-01-23 00:00:00,1874,Jessica Lee,Employee burnout from overwork,2,HR,Automate data entry using a workflow management tool,1,NULL,2020-01-23 00:00:00,5,NULL,NULL,NULL,NULL,NULL
136,2020-01-23 00:00:00,1874,Jessica Lee,Missed deadline due to lack of resources,2,Operations,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,4,NULL,2020-01-23 00:00:00,5,NULL,NULL,NULL,NULL,NULL
